Title,Type,genres,Year Released,IMDB Score,IMDB Score
Senninha on the Crazy Race,tv,"Adventure, Animation, Family",2018,tt9032434,8.3
My Dear Warrior,tv,"Fantasy, Romance",2019,tt11281912,4.8
Bangkok Love Stories: Objects of Affection,tv,Drama,2019,tt10438662,6.4
No Time for Shame,tv,Reality-TV,2019,tt11215130,5.6
Bangkok Buddies,tv,"Comedy, Drama",2019,tt11513508,6.5
The Prince of Tennis - Match! Tennis Juniors,tv,"Drama, Sport",2019,tt10097916,7.3
Çember,tv,"Action, Adventure, Crime",2017,tt7130992,7.2
Unconditional,tv,Drama,2020,tt15169386,7.9
Camping Coppens,tv,Reality-TV,2021,tt15371762,7.8
Newton's Cradle,tv,"Drama, Thriller",2021,tt11703922,7.9
Pi Mai Pi Mai Tang Tu,tv,Comedy,1990,tt3201906,8.1
The Woman in the Septic Tank 3: The Real Untold Story of Josephine Bracken,tv,"Comedy, Romance",2019,tt10573750,7.1
Trivia Quest,tv,"Adventure, Animation, Family",2022,tt18393972,5.7
Battle Kitty,tv,"Action, Adventure, Animation",2022,tt10050740,6.1
Sunshine Eyes,tv,Drama,2023,tt16026154,6.9
Das Boot - Die komplette TV-Serie,tv,"Drama, War",1987,tt30970892,8.9
