title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,genre1,genre2,genre3,,,
The Great Adventure,movie,"Drama, Family",1953,tt0046373,7,361,,Drama, Family,,,,
Fist of Dragon,movie,"Action, Comedy",2011,tt2203789,5.8,103,,Action, Comedy,,,,
The Junior Olsen Gang at the Circus,movie,Family,2006,tt0482121,4.4,317,,Family,,,,,
Woman in a Dressing Gown,movie,"Drama, Romance",1957,tt0051204,7.3,1017,,Drama, Romance,,,,
The Serpent's Way,movie,Drama,1986,tt0091696,6.3,688,,Drama,,,,,
The Monkey King: Havoc in Heaven's Palace,movie,"Action, Adventure, Family",2014,tt1717715,4.9,5530,,Action, Adventure, Family,,,
The Heart of the Matter,movie,"Crime, Drama",1953,tt0047066,6.6,580,,Crime, Drama,,,,
Clams and Mussels,movie,"Comedy, Romance",2000,tt0261521,4.6,326,,Comedy, Romance,,,,
No One Writes to the Colonel,movie,Drama,1999,tt0132905,6.6,1322,,Drama,,,,,
Childish Games,movie,"Horror, Thriller",2012,tt1734428,5.5,1344,,Horror, Thriller,,,,
No. 3,movie,"Action, Comedy, Crime",1997,tt0128371,6.4,767,,Action, Comedy, Crime,,,
Model for Murder,movie,"Crime, Drama, Mystery",1959,tt0051940,5.7,231,,Crime, Drama, Mystery,,,
The Childhood of Icarus,movie,"Drama, Sci-Fi, Thriller",2009,tt1280016,5.1,127,,Drama, Sci-Fi, Thriller,,,
L'ange noir,movie,"Crime, Drama, Thriller",1994,tt0109123,5.8,573,,Crime, Drama, Thriller,,,
Mukhsin,movie,"Comedy, Drama, Family",2006,tt0863091,7.3,527,,Comedy, Drama, Family,,,
Desechos,movie,Comedy,2010,tt1479209,4.3,196,,Comedy,,,,,
The Tank Battalion,movie,Comedy,1991,tt0103042,6.6,555,,Comedy,,,,,
Fake,movie,Romance,2003,tt0384945,6.6,146,,Romance,,,,,
Secondary Effects,movie,"Adventure, Comedy, Fantasy",2006,tt0459127,6.5,842,,Adventure, Comedy, Fantasy,,,
Always: Sunset on Third Street '64,movie,"Comedy, Drama, Family",2012,tt1823067,7.1,784,,Comedy, Drama, Family,,,
Deranged,movie,"Drama, Sci-Fi, Thriller",2012,tt2173024,6.3,3449,,Drama, Sci-Fi, Thriller,,,
Venus and Serena,movie,"Documentary, Sport",2012,tt2376024,6.5,901,,Documentary, Sport,,,,
Tad: The Lost Explorer,movie,"Adventure, Animation, Comedy",2012,tt1764625,5.9,9540,,Adventure, Animation, Comedy,,,
Misa mi,movie,"Drama, Family",2003,tt0342777,5.9,298,,Drama, Family,,,,
Las olas,movie,Drama,2011,tt1776942,6.1,93,,Drama,,,,,
Stand Up Guys,movie,"Comedy, Crime, Thriller",2012,tt1389096,6.4,58852,,Comedy, Crime, Thriller,,,
Assassin's Creed,movie,"Action, Adventure, Sci-Fi",2016,tt2094766,5.6,214993,,Action, Adventure, Sci-Fi,,,
The Last Supper,movie,"Action, History",2012,tt1919137,5.8,968,,Action, History,,,,
Big Shots,movie,"Crime, Drama",1982,tt0084342,7.3,185,,Crime, Drama,,,,
It Was the Son,movie,"Comedy, Drama",2012,tt1891788,6.7,1379,,Comedy, Drama,,,,
Fill the Void,movie,"Drama, Romance",2012,tt2219514,6.7,4044,,Drama, Romance,,,,
The Concubine,movie,"Drama, History, Romance",2012,tt2544120,6,2850,,Drama, History, Romance,,,
Mapantsula,movie,"Crime, Drama",1988,tt0095587,6.8,255,,Crime, Drama,,,,
La novia de medianoche,movie,"Drama, Mystery, Romance",1997,tt0141668,5.7,57,,Drama, Mystery, Romance,,,
The Lookout,movie,"Action, Crime, Thriller",2012,tt1946298,5.7,2999,,Action, Crime, Thriller,,,
Entertaining Mr Sloane,movie,"Comedy, Crime, Thriller",1970,tt0065700,6.4,794,,Comedy, Crime, Thriller,,,
Detective Conan: The Eleventh Striker,movie,"Action, Adventure, Animation",2012,tt2131586,6.4,2093,,Action, Adventure, Animation,,,
Who Saw Him Die?,movie,Drama,1968,tt0063384,6.8,705,,Drama,,,,,
The Swingin' Maiden,movie,"Comedy, Romance",1962,tt0056105,6.4,615,,Comedy, Romance,,,,
Freelancers,movie,"Action, Crime, Drama",2012,tt1815708,4.7,11011,,Action, Crime, Drama,,,
Ma bonne étoile,movie,Drama,2012,tt2214852,5.9,301,,Drama,,,,,
The Mortal Instruments: City of Bones,movie,"Action, Adventure, Fantasy",2013,tt1538403,5.8,141289,,Action, Adventure, Fantasy,,,
An Egyptian Story,movie,Drama,1982,tt0084042,7.3,1395,,Drama,,,,,
Habibi Rasak Kharban,movie,"Drama, Romance, War",2011,tt1670646,6.6,195,JP,Drama, Romance, War,,,
The Act of Killing,movie,"Biography, Crime, Documentary",2012,tt2375605,8.2,42572,,Biography, Crime, Documentary,,,
The Thieves,movie,"Action, Comedy, Crime",2012,tt2330866,6.8,12036,,Action, Comedy, Crime,,,
The Devil and Holy Water,movie,Comedy,1983,tt0085438,4.9,206,,Comedy,,,,,
Soar Into the Sun,movie,"Action, Drama, Romance",2012,tt2253742,5.9,1813,,Action, Drama, Romance,,,
Be-bop High School,movie,"Action, Comedy, Crime",1985,tt0184258,6.4,97,,Action, Comedy, Crime,,,
Bee Bop highschool: Koko yotaro ondo,movie,"Action, Comedy",1988,tt0222775,3.8,28,,Action, Comedy,,,,
Runway Cop,movie,"Action, Comedy, Romance",2012,tt2182095,5.8,673,,Action, Comedy, Romance,,,
Godzilla,movie,"Action, Adventure, Sci-Fi",2014,tt0831387,6.4,455125,,Action, Adventure, Sci-Fi,,,
Bang!,movie,Drama,1977,tt0075724,5.8,203,,Drama,,,,,
Yakuza Ladies,movie,Crime,1986,tt0225881,6.3,251,,Crime,,,,,
Zum zum zum - La canzone che mi passa per la testa,movie,"Comedy, Family, Musical",1969,tt0159150,5.1,97,,Comedy, Family, Musical,,,
Art Museum by the Zoo,movie,"Comedy, Romance",1998,tt0288621,7,598,,Comedy, Romance,,,,
Casino Tycoon II,movie,"Comedy, Crime, Drama",1992,tt0104146,5.6,368,,Comedy, Crime, Drama,,,
SOS: Summer of Suspense,movie,Family,2008,tt1186025,5.7,223,,Family,,,,,
A Tale of Mari and Three Puppies,movie,Drama,2007,tt1921012,7.3,346,,Drama,,,,,
Associés contre le crime,movie,"Comedy, Crime, Mystery",2012,tt2175565,4.4,604,,Comedy, Crime, Mystery,,,
Stigmata,movie,"Drama, Fantasy",2009,tt1454462,5.8,105,,Drama, Fantasy,,,,
"Maria Marten, or the Murder in the Red Barn",movie,"Crime, Drama",1935,tt0026743,5.9,512,,Crime, Drama,,,,
Chobizenesse,movie,"Comedy, Musical",1975,tt0188500,5.6,180,,Comedy, Musical,,,,
"Carlota Joaquina, Princesa do Brazil",movie,"Comedy, History",1995,tt0109380,6.7,1453,,Comedy, History,,,,
Love Is All You Need,movie,"Comedy, Drama, Romance",2012,tt1854236,6.5,15232,,Comedy, Drama, Romance,,,
Last Flight to Abuja,movie,Action,2012,tt2287851,4.4,394,,Action,,,,,
Dirty Hearts,movie,"Drama, History, Thriller",2011,tt1653653,6.8,717,,Drama, History, Thriller,,,
Ernest & Celestine,movie,"Adventure, Animation, Comedy",2012,tt1816518,7.8,23397,,Adventure, Animation, Comedy,,,
Gangs of Wasseypur - Part 2,movie,"Crime, Thriller, Action",2012,,,,,Crime, Thriller, Action,,,
The Son of Français,movie,"Adventure, Comedy, Family",1999,tt0211372,5.1,375,,Adventure, Comedy, Family,,,
The Man Who Finally Died,movie,"Crime, Drama, Mystery",1963,tt0056216,6.1,683,,Crime, Drama, Mystery,,,
Dead Europe,movie,Drama,2012,tt2091880,5.3,771,,Drama,,,,,
They Can't Hang Me,movie,"Crime, Drama, Mystery",1955,tt0211663,5.8,210,,Crime, Drama, Mystery,,,
Dragon Ball Z: Battle of Gods,movie,"Action, Adventure, Animation",2013,tt2263944,7.1,31108,,Action, Adventure, Animation,,,
Dibu 2: La venganza de Nasty,movie,"Animation, Comedy, Family",1998,tt0196502,5.8,111,,Animation, Comedy, Family,,,
Yam yasothon,movie,"Comedy, Romance",2005,tt0475014,6.7,190,,Comedy, Romance,,,,
Cohen vs. Rosi,movie,"Comedy, Crime, Romance",1998,tt0196459,5,295,,Comedy, Crime, Romance,,,
Alma mía,movie,"Comedy, Romance",1999,tt0198297,5.6,419,,Comedy, Romance,,,,
Cops,movie,"Action, Comedy, Crime",1997,tt0118877,4.8,492,,Action, Comedy, Crime,,,
Dibu 3,movie,"Adventure, Animation, Comedy",2002,tt0293093,5,88,,Adventure, Animation, Comedy,,,
A Night with Sabrina Love,movie,"Comedy, Drama",2000,tt0247887,6.1,1031,,Comedy, Drama,,,,
You Shouldn't Be Here,movie,"Horror, Thriller",2002,tt0323425,4,285,,Horror, Thriller,,,,
Un día en el paraíso,movie,"Comedy, Romance",2003,tt0309817,5.7,267,,Comedy, Romance,,,,
30° couleur,movie,"Comedy, Drama",2012,tt2113587,4.8,128,,Comedy, Drama,,,,
Barfi!,movie,"Comedy, Drama, Romance",2012,tt2082197,8.1,90518,,Comedy, Drama, Romance,,,
6 Bullets,movie,"Action, Crime, Drama",2012,tt1975249,6,16317,,Action, Crime, Drama,,,
Rurouni Kenshin Part I: Origins,movie,"Action, Adventure, Drama",2012,tt1979319,7.4,30260,,Action, Adventure, Drama,,,
The Chanting 2,movie,Horror,2007,tt1105731,5.5,233,,Horror,,,,,
Feng Shui,movie,"Drama, Horror, Thriller",2004,tt0430082,6.4,1125,,Drama, Horror, Thriller,,,
La compagna di banco,movie,Comedy,1977,tt0075871,4.5,319,,Comedy,,,,,
A Hijacking,movie,"Drama, Thriller",2012,tt2216240,7.1,17829,,Drama, Thriller,,,,
All That Matters Is Past,movie,Drama,2012,tt2188723,5.8,860,,Drama,,,,,
Break Out,movie,"Action, Comedy",2002,tt0325743,6.2,249,,Action, Comedy,,,,
Stories We Tell,movie,Documentary,2012,tt2366450,7.5,14427,,Documentary,,,,,
A Werewolf Boy,movie,"Drama, Fantasy, Romance",2012,tt2315152,7.2,9434,,Drama, Fantasy, Romance,,,
Dino King,movie,"Adventure, Animation, Drama",2012,tt2248068,5.5,937,,Adventure, Animation, Drama,,,
Michael McDonald - This Christmas (Live in Chicago),movie,Music,2009,,,,,Music,,,,,
God Loves Caviar,movie,"Adventure, Biography, Drama",2012,tt2181959,5.9,3283,,Adventure, Biography, Drama,,,
Crayon Shin-chan: Fierceness That Invites Storm! The Hero of Kinpoko,movie,"Adventure, Animation, Comedy",2008,tt1220673,5.5,333,,Adventure, Animation, Comedy,,,
Crayon Shin-chan: Action Kamen vs. Demon,movie,"Adventure, Animation, Comedy",1993,tt0409848,6.7,841,,Adventure, Animation, Comedy,,,
Kureyon Shin-chan: Hendârando no daibôken,movie,"Adventure, Animation, Comedy",1996,tt2643796,7,631,,Adventure, Animation, Comedy,,,
Crayon Shin-chan: Blitzkrieg! Pig's Hoof's Secret Mission,movie,"Adventure, Animation, Comedy",1998,tt2643808,6.8,419,,Adventure, Animation, Comedy,,,
Crayon Shin-chan: Explosion! The Hot Spring's Feel Good Final Battle,movie,"Adventure, Animation, Comedy",1999,tt2643818,6.2,286,,Adventure, Animation, Comedy,,,
Crayon Shin-chan: The Legend Called Buri Buri 3 Minutes Charge,movie,"Animation, Comedy",2005,tt2643846,5.4,208,,Animation, Comedy,,,,
Crayon Shin-chan: Densetsu wo yobu odore! Amîgo!,movie,"Animation, Comedy, Horror",2006,tt1033485,6.1,547,,Animation, Comedy, Horror,,,
Kureyon Shinchan: Arashi o Yobu: Utau Ketsudake Bakudan!,movie,Animation,2007,tt2643866,5.7,183,,Animation,,,,,
Eiga Kureyon Shinchan: Otakebe! Kasukabe yasei-oukoku,movie,"Animation, Comedy",2009,tt1388333,5.8,249,,Animation, Comedy,,,,
The To Do List,movie,"Comedy, Romance",2013,tt1758795,5.8,43247,,Comedy, Romance,,,,
Release the Prisoners to Spring,movie,"Comedy, Family",1975,tt0073720,6.2,1348,,Comedy, Family,,,,
Salmonberries,movie,Drama,1991,tt0102829,6.1,787,,Drama,,,,,
Gonzaga: From Father to Son,movie,"Biography, Drama, Music",2012,tt2478746,7.4,1536,,Biography, Drama, Music,,,
The Bullet Vanishes,movie,"Action, Adventure, Drama",2012,tt2106741,6.5,2369,,Action, Adventure, Drama,,,
Welcome Aboard,movie,Drama,2012,tt2372217,6.2,447,,Drama,,,,,
Karin Månsdotter,movie,"Drama, History",1954,tt0047142,6,180,,Drama, History,,,,
Labor Day,movie,"Crime, Drama, Romance",2013,tt1967545,6.9,54616,,Crime, Drama, Romance,,,
Code Name: Geronimo,movie,"Action, Crime, Drama",2012,tt2095605,5.7,11369,,Action, Crime, Drama,,,
Weapons of Death,movie,"Action, Crime, Drama",1977,tt0188083,6.3,603,,Action, Crime, Drama,,,
Kill Them All and Come Back Alone,movie,Western,1968,tt0062659,6.2,1154,,Western,,,,,
Dry Rot,movie,Comedy,1956,tt0049163,5.4,225,,Comedy,,,,,
Boerenpsalm,movie,Drama,1989,tt0096964,6.4,238,,Drama,,,,,
Breakout,movie,"Drama, War",1959,tt0052648,6.8,801,,Drama, War,,,,
Harry Dean Stanton: Partly Fiction,movie,"Biography, Documentary",2012,tt2372776,7.4,1421,,Biography, Documentary,,,,
The Enemies,movie,"Drama, War",1968,tt0199128,5.8,201,,Drama, War,,,,
Fezeka's Voice,movie,"Documentary, Music",2009,tt1563658,7.4,27,,Documentary, Music,,,,
Hitler - Never Heard of Him,movie,Documentary,1963,tt0179850,6.7,214,,Documentary,,,,,
Nairobi Half Life,movie,Drama,2012,tt2234428,7.3,1102,,Drama,,,,,
A Month in Thailand,movie,Comedy,2012,tt2186665,5.7,657,,Comedy,,,,,
Overbooked,movie,"Action, Comedy, Romance",2012,tt1977881,5,53,,Action, Comedy, Romance,,,
Dentist on the Job,movie,Comedy,1961,tt0054798,5.2,333,,Comedy,,,,,
Kath & Kimderella,movie,Comedy,2012,tt1859607,5.3,1637,,Comedy,,,,,
Convoy,movie,"Drama, War",1940,tt0032359,6,475,,Drama, War,,,,
Those Sweet Creatures,movie,"Comedy, Musical",1970,tt0153615,5.6,86,,Comedy, Musical,,,,
The Junior Olsen Gang and the Silver Mine Mystery,movie,Family,2007,tt0971172,4.8,321,,Family,,,,,
The Hunger Games: Mockingjay - Part 1,movie,"Action, Adventure, Sci-Fi",2014,tt1951265,6.6,526856,,Action, Adventure, Sci-Fi,,,
The Hunger Games: Mockingjay - Part 2,movie,"Action, Adventure, Sci-Fi",2015,tt1951266,6.6,396096,,Action, Adventure, Sci-Fi,,,
Pesantren: 3 Wishes 3 Loves,movie,Drama,2008,tt1619803,6.5,123,,Drama,,,,,
My 11th Mother,movie,Drama,2007,tt1233503,6.7,301,,Drama,,,,,
Highway Star,movie,Comedy,2007,tt0984009,6.2,406,,Comedy,,,,,
Romance of Their Own,movie,"Action, Drama, Romance",2004,tt0416073,6.2,976,,Action, Drama, Romance,,,
Mama,movie,"Fantasy, Horror, Thriller",2013,tt2023587,6.2,196306,,Fantasy, Horror, Thriller,,,
Dibu: The Movie,movie,"Animation, Comedy, Family",1997,tt0196503,3.9,205,,Animation, Comedy, Family,,,
Wings,movie,"Adventure, Animation, Comedy",2012,tt2284790,3,758,,Adventure, Animation, Comedy,,,
One 2 Ka 4,movie,"Action, Crime, Drama",2001,tt0227194,5.5,5980,,Action, Crime, Drama,,,
Resident Evil: Damnation,movie,"Action, Animation, Horror",2012,tt1753496,6.4,23193,,Action, Animation, Horror,,,
Innocents in Paris,movie,"Adventure, Comedy, Drama",1953,tt0044749,5.8,564,,Adventure, Comedy, Drama,,,
Masquerade,movie,"Drama, History",2012,tt2290840,7.8,7783,,Drama, History,,,,
Lover,movie,"Comedy, Drama, Romance",1992,tt0103681,5.4,263,,Comedy, Drama, Romance,,,
The Hypnotist,movie,"Crime, Drama, Thriller",2012,tt1556243,5.6,8865,,Crime, Drama, Thriller,,,
The Anderssons in Greece,movie,"Comedy, Family",2012,tt2192888,4.3,2310,,Comedy, Family,,,,
Rat Fever,movie,Drama,2011,tt2200908,7.1,1516,,Drama,,,,,
"Who's the Woman, Who's the Man",movie,"Comedy, Drama, Romance",1996,tt0116462,6.5,674,,Comedy, Drama, Romance,,,
Project 577,movie,"Adventure, Comedy, Drama",2012,tt2838540,6.2,96,,Adventure, Comedy, Drama,,,
Crying Ladies,movie,"Comedy, Drama",2003,tt0391892,6.8,298,,Comedy, Drama,,,,
George Takes the Air,movie,"Comedy, Musical, War",1938,tt0030283,6.3,271,,Comedy, Musical, War,,,
Carrie,movie,"Drama, Horror, Thriller",2013,tt1939659,5.8,152710,,Drama, Horror, Thriller,,,
Trapped by Fear,movie,"Crime, Drama",1960,tt0053769,6,252,,Crime, Drama,,,,
Scenes from a Marriage,movie,Drama,1974,tt6725014,8.3,9679,,Drama,,,,,
Chance and Violence,movie,Drama,1974,tt0071599,5.5,271,,Drama,,,,,
Liar Game: Reborn,movie,Drama,2012,tt2078667,6.2,722,,Drama,,,,,
2 + 2,movie,"Comedy, Drama, Romance",2012,tt2248944,6.2,2581,,Comedy, Drama, Romance,,,
A Company Man,movie,"Action, Crime, Drama",2012,tt2371486,6.6,6796,,Action, Crime, Drama,,,
Doraemon: Nobita and the Kingdom of Clouds,movie,"Adventure, Animation, Comedy",1992,tt1147523,7.1,873,,Adventure, Animation, Comedy,,,
Heroine,movie,Drama,2012,tt1949548,5,4718,,Drama,,,,,
Le Léopard,movie,"Action, Adventure",1984,tt0087657,4.1,151,,Action, Adventure,,,,
The Mistress,movie,"Drama, Romance",2012,tt2389344,6.4,421,,Drama, Romance,,,,
"Ruy, el caballero de la espada de madera",movie,"Adventure, Animation, Drama",2002,tt27518740,,,,Adventure, Animation, Drama,,,
King George VI: The Man Behind the King's Speech,movie,"Biography, History",2011,tt2234554,6.7,173,,Biography, History,,,,
Tootletubs & Jyro,movie,"Animation, Family",2001,tt0287058,7.5,91,,Animation, Family,,,,
Willy Fog en viaje al centro de la Tierra,movie,"Adventure, Animation, Comedy",1995,tt27518641,5.8,35,,Adventure, Animation, Comedy,,,
When Fortune Smiles,movie,"Action, Comedy, Crime",1990,tt0100959,6.2,789,,Action, Comedy, Crime,,,
A French Mistress,movie,"Comedy, Romance",1960,tt0053839,5.8,223,,Comedy, Romance,,,,
You Are God,movie,"Biography, Drama, Music",2012,tt2209386,6.6,3401,,Biography, Drama, Music,,,
The Last Sentence,movie,"Biography, Drama",2012,tt1590013,6.2,872,,Biography, Drama,,,,
The Girls,movie,"Comedy, Drama",1968,tt0062981,6.7,1093,,Comedy, Drama,,,,
The Baby Carriage,movie,Drama,1963,tt0056854,6.7,714,,Drama,,,,,
The Softening of the Egg,movie,Comedy,1975,tt0073946,6.1,1198,,Comedy,,,,,
SOPOR,movie,Comedy,1981,tt0083016,5.3,669,,Comedy,,,,,
Fairy Tail: The Phoenix Priestess,movie,"Action, Adventure, Animation",2012,tt2085795,7,2575,,Action, Adventure, Animation,,,
Escape,movie,"Adventure, Drama, History",2012,tt2076850,6.1,4908,,Adventure, Drama, History,,,
Jahr des Drachen,movie,Drama,2012,tt2188046,5.8,60,,Drama,,,,,
Doraemon: Nobita's Version of Saiyuki,movie,"Adventure, Animation, Family",1988,tt1147525,6.9,590,,Adventure, Animation, Family,,,
"L'amour, c'est mieux à deux",movie,"Comedy, Romance",2010,tt1560993,5.7,1875,,Comedy, Romance,,,,
2 Guns,movie,"Action, Comedy, Crime",2013,tt1272878,6.7,232693,,Action, Comedy, Crime,,,
Redemption,movie,"Action, Crime, Drama",2013,tt1893256,6.2,80160,,Action, Crime, Drama,,,
God's Neighbors,movie,Drama,2012,tt2164756,6.8,499,,Drama,,,,,
Unearthly Stranger,movie,"Horror, Mystery, Sci-Fi",1963,tt0057623,6.4,1085,,Horror, Mystery, Sci-Fi,,,
Counselor at Crime,movie,"Action, Crime, Drama",1973,tt0069916,6.2,419,,Action, Crime, Drama,,,
Lautrec,movie,"Biography, Comedy, Drama",1998,tt0123952,6.6,726,,Biography, Comedy, Drama,,,
Doraemon the Movie: Nobita and the Green Giant Legend,movie,"Adventure, Animation, Comedy",2008,tt1180304,6.6,1237,,Adventure, Animation, Comedy,,,
Good Morning President,movie,Drama,2009,tt1519466,5.8,285,,Drama,,,,,
Trolls,movie,"Adventure, Animation, Comedy",2016,tt1679335,6.4,97248,,Adventure, Animation, Comedy,,,
No Good Deed,movie,"Crime, Drama, Horror",2014,tt2011159,5.6,22730,,Crime, Drama, Horror,,,
Sleepless Nights,movie,"Drama, Romance",2003,tt0328349,7,2727,,Drama, Romance,,,,
Already Famous,movie,Comedy,2011,tt2323453,6.8,80,,Comedy,,,,,
The Playbirds,movie,"Crime, Drama, Horror",1978,tt0078092,4.2,660,,Crime, Drama, Horror,,,
The Lego Movie,movie,"Action, Adventure, Animation",2014,tt1490017,7.7,403563,,Action, Adventure, Animation,,,
Edge of Tomorrow,movie,"Action, Adventure, Sci-Fi",2014,tt1631867,7.9,776814,,Action, Adventure, Sci-Fi,,,
Smurfs: The Lost Village,movie,"Adventure, Animation, Comedy",2017,tt2398241,6,26058,,Adventure, Animation, Comedy,,,
Aiyyaa,movie,"Comedy, Romance",2012,tt2255934,4.4,2132,,Comedy, Romance,,,,
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,movie,"Action, Adventure, Animation",2011,tt1851909,8,2626,,Action, Adventure, Animation,,,
"My Mother, the Mermaid",movie,"Drama, Fantasy, Romance",2004,tt0417782,6.6,421,,Drama, Fantasy, Romance,,,
Silent Code,movie,Drama,2012,tt2460414,5.7,331,,Drama,,,,,
Black & White Episode 1: The Dawn of Assault,movie,"Action, Comedy, Crime",2012,tt2414370,6.2,774,,Action, Comedy, Crime,,,
Women's Day,movie,Drama,2012,tt2393787,6.1,466,,Drama,,,,,
The Departure,movie,"Comedy, Drama, Romance",1967,tt0061605,6.4,1162,,Comedy, Drama, Romance,,,
Summertime,movie,"Drama, Thriller",2001,tt0297414,5.3,397,,Drama, Thriller,,,,
A Full Day's Work,movie,"Comedy, Crime",1973,tt0069443,6.8,495,,Comedy, Crime,,,,
The Expendables 3,movie,"Action, Adventure, Comedy",2014,tt2333784,6.1,202036,,Action, Adventure, Comedy,,,
Student of the Year,movie,"Comedy, Drama, Music",2012,tt2172071,5.3,21317,,Comedy, Drama, Music,,,
Into the White Night,movie,"Drama, Mystery",2010,tt1613028,6.5,541,,Drama, Mystery,,,,
Sisters,movie,Drama,2005,tt0362718,6.5,358,,Drama,,,,,
Luv Shuv Tey Chicken Khurana,movie,Comedy,2012,tt2186933,6.6,4148,,Comedy,,,,,
Perfect Number,movie,"Crime, Drama, Mystery",2012,tt2411024,6.9,2541,,Crime, Drama, Mystery,,,
De marathon,movie,"Comedy, Drama, Sport",2012,tt2401621,7.5,7889,,Comedy, Drama, Sport,,,
Don Jon,movie,"Comedy, Drama, Romance",2013,tt2229499,6.5,251725,,Comedy, Drama, Romance,,,
Lilet Never Happened,movie,Drama,2012,tt1986951,6.6,299,,Drama,,,,,
Zokkomon,movie,"Action, Adventure",2011,tt1605790,4.2,493,,Action, Adventure,,,,
Mutter muss weg,movie,Comedy,2012,tt1932679,5.8,485,,Comedy,,,,,
We're the Millers,movie,"Comedy, Crime",2013,tt1723121,7,508696,,Comedy, Crime,,,,
"Look Out, Officer!",movie,"Action, Comedy, Crime",1990,tt0100600,5.8,1086,,Action, Comedy, Crime,,,
A Haunted House,movie,"Comedy, Fantasy, Horror",2013,tt2243537,5.1,52461,,Comedy, Fantasy, Horror,,,
"Slunce, seno, erotika",movie,Comedy,1991,tt0168176,5.3,1129,,Comedy,,,,,
Greedy Ghost,movie,Comedy,2012,tt2456514,5.3,60,,Comedy,,,,,
Mundane History,movie,Drama,2009,tt1515203,6.6,394,,Drama,,,,,
Mamonas Pra Sempre,movie,"Biography, Documentary, Music",2009,tt2154685,7.2,327,,Biography, Documentary, Music,,,
The Scapegoat,movie,Drama,2012,tt2084977,7.2,5635,,Drama,,,,,
Bitch Hug,movie,Drama,2012,tt2287655,6,1072,,Drama,,,,,
Zaman,movie,Crime,1983,tt0154023,6.7,425,,Crime,,,,,
Elles n'oublient jamais,movie,"Drama, Thriller",1994,tt0109721,5.8,448,,Drama, Thriller,,,,
The Punishment,movie,"Drama, Thriller",1973,tt0069135,4.2,431,,Drama, Thriller,,,,
Confession of Murder,movie,"Action, Crime, Mystery",2012,tt2468774,7,12464,,Action, Crime, Mystery,,,
Kung Fu Panda 3,movie,"Action, Adventure, Animation",2016,tt2267968,7.1,205939,,Action, Adventure, Animation,,,
26 Years,movie,"Crime, Drama, Thriller",2012,tt2551894,6.2,1481,,Crime, Drama, Thriller,,,
Bulldog Drummond at Bay,movie,"Action, Comedy, Drama",1937,tt0028669,5.8,534,,Action, Comedy, Drama,,,
The Return of Bulldog Drummond,movie,"Action, Drama, Mystery",1934,tt0025710,5.4,414,,Action, Drama, Mystery,,,
Brussels by Night,movie,Drama,1983,tt0088861,6.5,850,,Drama,,,,,
Jealousy Is My Middle Name,movie,"Drama, Romance",2002,tt0352464,6.4,258,,Drama, Romance,,,,
I Wake Up Yesterday,movie,"Comedy, Sci-Fi",2012,tt2321471,6.2,581,,Comedy, Sci-Fi,,,,
Tito,movie,"Action, Crime, Drama",2004,tt0417202,7.3,3902,,Action, Crime, Drama,,,
Ragnarok,movie,"Adventure, Fantasy",2013,tt2363213,5.8,9061,,Adventure, Fantasy,,,,
Justice League,movie,"Action, Adventure, Fantasy",2017,tt0974015,6,493044,,Action, Adventure, Fantasy,,,
Garuda di Dadaku,movie,"Drama, Sport",2009,tt1445022,6.7,312,,Drama, Sport,,,,
Craft,movie,Drama,2010,tt1667333,7,199,,Drama,,,,,
A Bigger Splash,movie,"Biography, Documentary, Drama",1973,tt0071219,5.8,689,,Biography, Documentary, Drama,,,
Viva l'Italia,movie,Comedy,2012,tt2508478,6.2,2102,,Comedy,,,,,
Doraemon: Nobita and the Birth of Japan,movie,"Adventure, Animation, Family",1989,tt1147511,6.9,629,,Adventure, Animation, Family,,,
Michael McIntyre: Showtime,movie,Comedy,2012,tt2586604,7.5,761,,Comedy,,,,,
Summertime,movie,"Comedy, Horror, Musical",2012,tt2310958,3.1,247,,Comedy, Horror, Musical,,,
Seven Something,movie,"Drama, Romance",2012,tt2535894,6.6,683,,Drama, Romance,,,,
Chimera,movie,"Comedy, Romance",1968,tt0062799,5.2,85,,Comedy, Romance,,,,
Johnny Colt,movie,"Action, Drama, Western",1966,tt0222396,5.6,337,,Action, Drama, Western,,,
Aftermath,movie,"Drama, Fantasy, Thriller",2012,tt2209300,7.3,4374,,Drama, Fantasy, Thriller,,,
Dostana,movie,"Action, Crime, Drama",1980,tt0080653,6.4,1189,,Action, Crime, Drama,,,
Ricky Rapper and Cool Wendy,movie,"Comedy, Family, Musical",2012,tt1786650,5.2,388,,Comedy, Family, Musical,,,
Kontorstid,movie,"Comedy, Drama",2003,tt0322987,4.5,263,,Comedy, Drama,,,,
No One Can Judge Me,movie,"Comedy, Musical, Romance",1966,tt0060746,5.7,106,,Comedy, Musical, Romance,,,
Sabotage,movie,"Action, Crime, Drama",2014,tt1742334,5.7,67699,,Action, Crime, Drama,,,
New Year's Eve at Bob's,movie,Comedy,1984,tt0083013,4.4,171,,Comedy,,,,,
Dark Skies,movie,"Horror, Sci-Fi, Thriller",2013,tt2387433,6.3,82640,,Horror, Sci-Fi, Thriller,,,
Die fantastische Reise der Schmetterlinge,movie,Documentary,2012,,,,,Documentary,,,,,
Strong as a Lion,movie,"Adventure, Drama, Family",2003,tt0302713,4.8,264,,Adventure, Drama, Family,,,
Chill Out!,movie,"Comedy, Drama",2003,tt0380311,6.1,421,,Comedy, Drama,,,,
